respondent_id,segment,age,city,purchase_frequency_per_month,monthly_beverage_spend_eur,price_sensitivity_1_10,preferred_channel,aware_pulsup,aware_matelibre,aware_voltfit,aware_rootandrise,lumen_purchase_intent_1_10
1,Students & Budget-Conscious,22,Hamburg,11.7,25.38,5.1,Gym & Office,0,1,1,0,8.5
2,Fitness & Gym-Goers,30,Hamburg,8.8,28.77,5.5,Gym & Office,0,0,1,0,7.1
3,Students & Budget-Conscious,19,Cologne,2.6,23.26,8.1,Gym & Office,1,1,0,0,6.6
4,On-the-go Commuters,41,Other Germany,6.4,9.08,5.4,Gym & Office,1,1,0,1,10
5,Fitness & Gym-Goers,20,Other Germany,7.4,14.42,6.5,DTC Online,1,1,1,0,6.9
6,Students & Budget-Conscious,20,Hamburg,3.1,15.15,9.2,Retail/Grocery,1,0,1,0,5.2
7,Students & Budget-Conscious,18,Other Germany,5.4,10.76,7,DTC Online,0,0,1,0,6.2
8,Urban Wellness Professionals,28,Berlin,8.9,23.74,2.2,Gym & Office,1,1,1,0,8.3
9,Students & Budget-Conscious,19,Frankfurt,6.7,17.63,8.6,Gym & Office,0,1,0,0,4.6
10,Students & Budget-Conscious,18,Other Germany,6.9,27.02,6.8,Retail/Grocery,1,1,0,0,3.7
11,Students & Budget-Conscious,23,Other Germany,6.1,23.7,8.6,Retail/Grocery,1,1,0,0,4.7
12,On-the-go Commuters,30,Berlin,5.2,30.05,6.3,Retail/Grocery,0,0,0,1,7.8
13,Students & Budget-Conscious,23,Frankfurt,4.1,14.75,8.8,Retail/Grocery,1,1,1,0,3.8
14,Students & Budget-Conscious,21,Other Germany,5.2,14.35,8.8,Gym & Office,0,1,1,0,8.4
15,Fitness & Gym-Goers,34,Berlin,5.6,22.85,6.1,DTC Online,0,1,1,1,6.7
16,Urban Wellness Professionals,33,Cologne,7.9,21.48,4.6,Retail/Grocery,0,1,0,1,9.2
17,Urban Wellness Professionals,25,Berlin,7.1,15.4,4.7,DTC Online,1,0,0,1,8.5
18,Urban Wellness Professionals,32,Other Germany,5.4,19.18,4.5,Gym & Office,0,0,0,0,8.5
19,Students & Budget-Conscious,23,Other Germany,8.6,26.55,7.8,Gym & Office,1,0,0,0,7.4
20,On-the-go Commuters,32,Munich,10.1,26.03,4.8,DTC Online,1,0,0,0,7.2
21,Students & Budget-Conscious,20,Berlin,5.8,14.56,9.1,DTC Online,1,1,0,0,3.5
22,Fitness & Gym-Goers,18,Cologne,7,17.96,5.2,Gym & Office,0,0,1,0,6.9
23,Urban Wellness Professionals,37,Other Germany,9.7,14.89,4.2,DTC Online,0,1,0,1,10
24,Students & Budget-Conscious,24,Frankfurt,7,8.69,6.2,Gym & Office,1,0,1,0,6.3
25,Fitness & Gym-Goers,20,Other Germany,7.5,24.6,5.6,Gym & Office,0,1,1,0,8
26,Students & Budget-Conscious,23,Hamburg,6.8,24.42,9.2,Gym & Office,1,1,0,0,2.8
27,Urban Wellness Professionals,32,Other Germany,8.4,14.17,4.5,DTC Online,0,1,0,0,8.7
28,Urban Wellness Professionals,39,Other Germany,8.8,16.61,3.4,DTC Online,0,1,1,1,7.8
29,Students & Budget-Conscious,20,Other Germany,6.2,18.21,8.7,Retail/Grocery,1,1,1,0,5.8
30,Urban Wellness Professionals,25,Other Germany,9.2,24.81,1,Gym & Office,0,0,0,0,10
31,On-the-go Commuters,40,Munich,5.7,15.29,7.2,Retail/Grocery,1,1,0,1,4.6
32,Urban Wellness Professionals,25,Berlin,6,21.92,4.1,DTC Online,1,0,1,0,10
33,Urban Wellness Professionals,27,Cologne,6.6,15.28,4.7,Retail/Grocery,0,0,1,1,6.9
34,Students & Budget-Conscious,19,Cologne,5.8,12.64,7,Gym & Office,1,0,1,0,7.5
35,Fitness & Gym-Goers,27,Frankfurt,5.4,9.71,6.3,Gym & Office,0,0,1,0,5.9
36,On-the-go Commuters,43,Other Germany,7.4,15.66,4.9,Gym & Office,0,1,0,0,7.3
37,On-the-go Commuters,47,Berlin,5.2,20.87,7,Retail/Grocery,1,0,1,0,4.4
38,On-the-go Commuters,27,Munich,3.4,16.93,6,Retail/Grocery,1,1,0,0,5.5
39,Students & Budget-Conscious,22,Other Germany,4.3,22.22,10,Retail/Grocery,1,0,0,0,5.4
40,On-the-go Commuters,27,Munich,8.8,13.16,5.4,Retail/Grocery,0,1,0,0,7.4
41,Students & Budget-Conscious,18,Other Germany,0.5,15.5,7.9,DTC Online,1,0,0,0,4.6
42,On-the-go Commuters,31,Munich,9.3,21.86,5.3,Retail/Grocery,1,0,0,0,7.4
43,Students & Budget-Conscious,18,Frankfurt,5.9,31.46,7.2,Retail/Grocery,1,1,1,0,7
44,Students & Budget-Conscious,19,Other Germany,4.6,16.56,8.7,Gym & Office,1,1,0,0,2.9
45,On-the-go Commuters,38,Munich,4.7,25.72,4.4,Retail/Grocery,1,1,1,1,7.3
46,Students & Budget-Conscious,21,Other Germany,4.8,12.97,9,Retail/Grocery,1,1,0,0,7.7
47,On-the-go Commuters,31,Hamburg,3.4,23.05,4.3,Retail/Grocery,1,0,0,0,7.2
48,Students & Budget-Conscious,23,Munich,5.7,20.4,6.5,Retail/Grocery,1,1,1,0,6.5
49,On-the-go Commuters,43,Frankfurt,5.4,25.69,4,Retail/Grocery,1,0,0,0,9.5
50,On-the-go Commuters,40,Hamburg,3.1,16.84,4.8,Retail/Grocery,0,0,0,0,9.4
51,Urban Wellness Professionals,35,Berlin,7.2,27.65,3.5,DTC Online,0,0,1,1,8.5
52,Students & Budget-Conscious,20,Frankfurt,2.9,23.58,9.1,Gym & Office,1,1,1,0,5.1
53,Students & Budget-Conscious,24,Other Germany,4.3,22.05,7.5,DTC Online,1,1,0,0,5.2
54,Students & Budget-Conscious,19,Other Germany,3.4,17.37,8.7,Gym & Office,1,0,1,0,3.5
55,Fitness & Gym-Goers,33,Other Germany,7,22.45,4.3,DTC Online,0,0,1,0,7.2
56,On-the-go Commuters,38,Berlin,8.6,28.82,4.6,Retail/Grocery,1,0,0,0,3.7
57,On-the-go Commuters,39,Berlin,4.1,17.92,5.8,Retail/Grocery,0,1,0,0,6.1
58,On-the-go Commuters,46,Other Germany,4,14.79,4.1,DTC Online,1,0,1,0,8
59,Students & Budget-Conscious,18,Other Germany,6.2,21.19,8.6,Retail/Grocery,1,1,1,0,5.3
60,Fitness & Gym-Goers,23,Berlin,5.6,24.13,4.8,Gym & Office,1,1,1,0,7.9
61,On-the-go Commuters,46,Frankfurt,2.2,9.9,9.6,DTC Online,1,1,0,0,8.2
62,Students & Budget-Conscious,21,Frankfurt,4.4,23.97,9.1,Retail/Grocery,1,0,0,1,4.4
63,Fitness & Gym-Goers,33,Other Germany,5.5,16.1,4.6,Retail/Grocery,0,0,0,0,6.9
64,On-the-go Commuters,45,Berlin,5.4,26.49,4.1,DTC Online,1,1,0,0,8.5
65,Urban Wellness Professionals,33,Other Germany,6.4,29,4.6,DTC Online,1,0,1,0,7.1
66,Fitness & Gym-Goers,30,Other Germany,6.8,18.48,6.6,Gym & Office,0,1,1,0,8
67,Urban Wellness Professionals,32,Cologne,10.1,19.11,2.7,DTC Online,0,0,1,1,8.5
68,Students & Budget-Conscious,21,Berlin,6.2,10.8,8.9,Gym & Office,1,0,1,0,2.7
69,Students & Budget-Conscious,21,Other Germany,3.8,13.08,7.7,Retail/Grocery,0,1,0,0,6
70,Students & Budget-Conscious,20,Munich,5.4,5.46,8.8,Retail/Grocery,1,0,0,0,1.9
71,On-the-go Commuters,42,Munich,7.1,20.39,5.7,Gym & Office,1,1,1,1,6.8
